Date,Category,Subcategory,Dollars,Dollars last year,Dollars 3 years ago,Unit sales,Unit sales last year,Unit sales 3 years ago,Volume sales,Volume sales last year,Volume sales 3 years ago,Share,Share last year,Share 3 years ago,Percent change dollars 1 year,Percent change units 1 year,Percent change volume 1 year,Percent change share 1 year,Percent change dollars 3 years,Percent change units 3 years,Percent change volume 3 years,Percent change share 3 years
2019-10-06,Alcohol,Other,"$1,147,839,728","$1,103,676,117",NA,"149,457,055","145,377,279",NA,"34,109,047","33,593,210",NA,8.8,8.6,NA,4,2.8,1.5,2.3,NA,NA,NA,NA
2019-10-06,All Foods,All Foods,"$13,037,155,405","$12,828,308,605",NA,"4,472,865,668","4,501,754,880",NA,"19,938,942,692","19,735,991,391",NA,100,100,NA,1.6,-0.6,1,0,NA,NA,NA,NA
2019-10-06,Beverages,Carbonated non-alcoholic,"$734,178,640","$730,908,985",NA,"314,189,214","325,337,911",NA,"2,366,961,643","2,453,130,048",NA,5.6,5.7,NA,0.4,-3.4,-3.5,-1.2,NA,NA,NA,NA
2019-10-06,Beverages,Fruit drinks and non-carbonated sugary,"$727,030,527","$684,647,029",NA,"309,406,835","296,315,282",NA,"10,653,887,994","10,260,281,394",NA,5.6,5.3,NA,6.2,4.4,3.8,4.5,NA,NA,NA,NA
2019-10-06,Beverages,Other,"$227,124,765","$228,596,996",NA,"36,060,894","36,670,931",NA,"82,872,889","82,863,520",NA,1.7,1.8,NA,-0.6,-1.7,0,-2.2,NA,NA,NA,NA
2019-10-06,Beverages,Water,"$357,631,969","$337,980,212",NA,"166,348,002","161,648,585",NA,"189,762,876","180,508,216",NA,2.7,2.6,NA,5.8,2.9,5.1,4.1,NA,NA,NA,NA
2019-10-06,Commercially prepared items,"Not sweet canned (soups, sauces, etc)","$223,285,979","$221,103,427",NA,"96,179,133","96,104,184",NA,"99,567,896","100,422,686",NA,1.7,1.7,NA,1,0.1,-0.9,-0.6,NA,NA,NA,NA
2019-10-06,Commercially prepared items,"Not sweet frozen (pizzas, french fries, fish sticks and entrees)","$448,229,308","$445,959,414",NA,"136,626,410","138,255,971",NA,"129,797,463","131,416,211",NA,3.4,3.5,NA,0.5,-1.2,-1.2,-1.1,NA,NA,NA,NA
2019-10-06,Commercially prepared items,Not sweet packaged/Meals and sides,"$842,327,803","$820,878,765",NA,"307,620,456","307,782,301",NA,"220,573,382","222,299,884",NA,6.5,6.4,NA,2.6,-0.1,-0.8,1,NA,NA,NA,NA
2019-10-06,Commercially prepared items,Not sweet packaged/Snacks,"$842,526,069","$825,116,282",NA,"316,773,264","322,058,329",NA,"163,582,901","161,525,211",NA,6.5,6.4,NA,2.1,-1.6,1.3,0.5,NA,NA,NA,NA
2019-10-06,Commercially prepared items,Other,"$151,724,973","$144,156,055",NA,"48,399,944","47,475,210",NA,"61,201,495","59,655,179",NA,1.2,1.1,NA,5.3,1.9,2.6,3.6,NA,NA,NA,NA
2019-10-06,Commercially prepared items,Regular meat fresh/frozen,"$802,735","$628,150",NA,"232,143","172,250",NA,"232,018","170,685",NA,0,0,NA,27.8,34.8,35.9,25.7,NA,NA,NA,NA
2019-10-06,Commercially prepared items,"Sweet frozen (ice cream, frozen desserts)","$142,285,374","$142,084,349",NA,"36,463,998","37,537,492",NA,"88,556,043","91,689,249",NA,1.1,1.1,NA,0.1,-2.9,-3.4,-1.5,NA,NA,NA,NA
2019-10-06,Commercially prepared items,"Sweet mixes (pancake, muffin, and cake mixes)","$85,137,175","$86,102,766",NA,"45,864,847","47,130,585",NA,"39,874,779","41,477,132",NA,0.7,0.7,NA,-1.1,-2.7,-3.9,-2.7,NA,NA,NA,NA
2019-10-06,Commercially prepared items,"Sweet packaged (cookies, candy bars, bars)","$930,087,629","$930,628,003",NA,"389,864,135","402,201,100",NA,"384,100,105","393,245,202",NA,7.1,7.3,NA,-0.1,-3.1,-2.3,-1.7,NA,NA,NA,NA
2019-10-06,Commercially prepared items,Sweet ready-to-eat (bakery items),"$355,008,853","$350,288,583",NA,"135,438,449","136,917,841",NA,"93,677,199","94,112,586",NA,2.7,2.7,NA,1.3,-1.1,-0.5,-0.3,NA,NA,NA,NA
2019-10-06,Dairy,Cheese,"$422,318,241","$417,671,953",NA,"125,075,909","125,525,418",NA,"90,085,264","89,843,632",NA,3.2,3.3,NA,1.1,-0.4,0.3,-0.5,NA,NA,NA,NA
2019-10-06,Dairy,Other,"$316,561,973","$312,362,273",NA,"114,447,675","117,419,498",NA,"582,570,741","602,694,106",NA,2.4,2.4,NA,1.3,-2.5,-3.3,-0.3,NA,NA,NA,NA
2019-10-06,Dairy,Regular-fat milk,"$8,636,571","$8,670,416",NA,"5,959,697","6,175,728",NA,"4,821,041","5,016,647",NA,0.1,0.1,NA,-0.4,-3.5,-3.9,-2,NA,NA,NA,NA
